trade_partner,sku,product_type,total_quantity,mean_quantity,median_quantity,total_gross_sales,mean_gross_sales,median_gross_sales,total_dcm,mean_dcm,median_dcm,total_demand,mean_demand,median_demand,mean_total_variable_cost,median_total_variable_cost,mean_price_final,median_price_final,mean_price_list,median_price_list,price_final_var,quantity_var,price_final_std,price_final_var_coeff,quantity_std,quantity_var_coeff
BODEGA AURRERA,ALF2253EB,Washing Machine,209.0,13.933333333333334,3.0,691955.2,46130.346666666665,0.0,220678.789755877,14711.919317058466,-2041.087712477396,891450.0,59430.0,12225.0,2234.4539168173596,2255.9390506329114,4265.311004784689,4290.0,4290.0,4290.0,14026.666666666668,580.9238095238095,118.43422928641309,3.2885448800643147,24.102361077782597,41.6930963773069
BODEGA AURRERA,AM1807B,Microwave,4184.0,58.929577464788736,36.0,4420222.01,62256.64802816901,0.0,1055407.5780000002,14864.895464788735,-16512.0032,8119557.0,114359.95774647887,66614.0,786.1533971830985,750.5456,1940.6206978967496,1890.0,2264.689292543021,2290.0,34925.82092555334,4368.323541247486,186.8845122677461,17.997242306755794,66.09329422299577,74.12786124009835
BODEGA AURRERA,AM1807W,Microwave,7.0,0.875,0.5,5642.28,705.285,403.02,-256.5849999999998,-32.073124999999976,-18.327499999999986,16310.0,2038.75,775.0,842.6949999999999,842.6949999999999,2330.0,1890.0,2378.5714285714284,1890.0,859983.9285714285,0.9821428571428571,927.3531843755261,369.091814837523,0.9910312089651149,1.1224489795918366
BODEGA AURRERA,AT1130F,Refrigerators,4.0,0.5,0.0,0.0,0.0,0.0,-21454.438668277515,-2681.8048335346894,0.0,33660.0,4207.5,0.0,5363.609667069379,5363.609667069379,8415.0,8390.0,8990.0,8990.0,251250.0,1.1428571428571428,501.24844139408555,29.857397504456326,1.0690449676496976,2.2857142857142856
BODEGA AURRERA,AW5400D,Ranges,12.0,0.23076923076923078,0.0,0.0,0.0,0.0,-27772.266279775286,-534.0820438418324,0.0,61280.0,1178.4615384615386,0.0,2293.161791416122,2314.355523314607,5106.666666666667,4990.0,5990.0,5990.0,375173.19004524895,1.5927601809954757,612.5138284522635,73.46733486525763,1.2620460296659055,6.901960784313728
BODEGA AURRERA,NAW1001B,Ranges,12.0,6.0,6.0,1407.41,703.705,703.705,-21916.4195216334,-10958.2097608167,-10958.2097608167,51729.0,25864.5,25864.5,2028.1590888376872,2028.1590888376872,4310.75,4249.0,4990.0,4990.0,274540.5,50.0,523.9661248592317,63.68740938351795,7.0710678118654755,8.333333333333334
BODEGA AURRERA,NAW1001S,Ranges,3110.0,51.833333333333336,33.0,8724084.52,145401.40866666666,0.0,1988682.6457218614,33144.71076203102,-12812.04669192684,13056470.794921875,217607.84658203126,142807.5,2140.5281787591666,2178.566643971365,4198.222120553658,3990.0,4948.54913019996,4990.0,166113.78010525377,3720.954802259891,407.57058297337136,39.567649194165746,60.99962952559541,71.78690936835802
BODEGA AURRERA,WD2620S,Refrigerators,5.0,2.5,2.5,0.0,0.0,0.0,-53004.066370833956,-26502.033185416978,-26502.033185416978,112560.0,56280.0,56280.0,10600.81327416679,10600.81327416679,22512.0,22490.0,23790.0,23790.0,6050.0,4.5,77.78174593052023,0.2687455579246624,2.1213203435596424,1.8
BODEGA AURRERA,WF7419D,Ranges,663.0,10.523809523809524,4.0,3399540.4699999997,53960.95984126984,0.0,1141409.3293413022,18117.60840224289,-3116.247216190824,5307756.0,84250.09523809524,29960.0,3303.690657766212,3444.2732389477533,8005.665158371041,8219.0,8851.969834087482,8990.0,755873.2954429081,144.96313364055297,869.4097396756653,94.41730081010658,12.040063689223283,13.774777404758426
BODEGA AURRERA,WFR3400S,Ranges,11.0,0.44,0.0,0.0,0.0,0.0,-43818.15789793264,-1752.7263159173056,0.0,97566.0,3902.64,0.0,3760.254254853427,3667.599119210221,8869.636363636364,8553.0,10827.181818181818,10690.0,3222513.5266666673,2.5900000000000025,1795.1360746936894,363.3196891676746,1.6093476939431088,5.886363636363642
BODEGA AURRERA,WFR5000D,Ranges,19.0,0.6129032258064516,0.0,0.0,0.0,0.0,-75527.39113252414,-2436.367455887875,0.0,176778.0,5702.5161290322585,0.0,4015.6194910063323,3975.1258490802174,9304.105263157895,9290.0,11390.0,11390.0,936363.6451612902,2.7784946236559116,967.6588475084027,100.63983786480509,1.6668817065574604,4.53333333333333
BODEGA AURRERA,WFR5200D,Ranges,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,-14925.848971508865,-2487.6414952514774,0.0,52450.0,8741.666666666666,0.0,2949.265690246597,2923.6199016357573,10490.0,11290.0,11490.0,11290.0,610666.6666666667,1.7666666666666664,781.451640644939,58.214172227518276,1.3291601358251257,2.1199999999999997
